Year,P rock min (EUR/kg P),P rock max (EUR/kg P),DAP (EUR/kg P),TSP (EUR/kg P)
1980,0.6675229357798165,0.5497247706422018,2.021386118867172,1.6761289500509686
1981,0.7308830275229358,0.6019036697247706,1.6139998005584362,1.4985387359836897
1982,0.6609919724770642,0.5443463302752294,1.5605399880335058,1.3251335372069313
1983,0.6291169724770641,0.5180963302752293,1.6266972477064219,1.3243450560652392
1984,0.5343692660550458,0.44006880733944953,1.7276241523733544,1.319796126401631
1985,0.5878841743119265,0.4841399082568807,1.5623793378540085,1.2333664627930683
1986,0.5111697247706422,0.42096330275229354,1.194153370562425,1.0705147808358815
1987,0.4424483944954128,0.3643692660550458,1.2619126445951334,1.1126075433231395
1988,0.38444954128440356,0.3166055045871559,1.3343592939768645,1.1990372069317021
1989,0.3794782110091742,0.3125114678899082,1.1570697048264857,1.0967772680937817
1990,0.3689506880733945,0.30384174311926604,1.1100772836059034,0.9671024464831802
1991,0.3748967889908256,0.30873853211009167,1.1462709413641803,0.985722731906218
1992,0.3679759174311926,0.303038990825688,0.9803734543278817,0.8775795107033637
1993,0.3556938073394495,0.29292431192660545,0.8385655165536497,0.786540265035678
1994,0.3706077981651376,0.30520642201834863,1.1368368568009573,0.956973496432212
1995,0.34643348623853204,0.28529816513761463,1.2895028919026725,0.9872996941896024
1996,0.35715596330275223,0.29412844036697244,1.3035650179497404,1.182721712538226
1997,0.3686582568807339,0.3036009174311926,1.2912829078579975,1.213533129459735
1998,0.38552178899082556,0.31748853211009165,1.3493114280015952,1.277339449541284
1999,0.5177006880733944,0.42634174311926604,1.2597172915835657,1.1627064220183483
2000,0.5390481651376146,0.44392201834862377,1.101295871559633,1.0498323139653414
2001,0.5601032110091743,0.46126146788990824,1.1119759672915834,1.0048888888888887
2002,0.5667316513761467,0.4667201834862385,1.1931446948544076,1.0663904179408765
2003,0.5386582568807338,0.44360091743119257,1.279297467092142,1.1375963302752292
2004,0.5044438073394495,0.41542431192660545,1.428759473474272,1.3290152905198775
2005,0.4890424311926605,0.40274082568807335,1.534255085759872,1.3933674821610598
2006,0.47695527522935777,0.3927866972477064,1.5166922616673315,1.3599480122324157
2007,0.5313474770642201,0.4375802752293577,2.43701984443558,2.154918960244648
2008,2.300946100917431,1.8948967889908257,4.971406561627443,5.186689602446482
2009,2.250940366972477,1.8537155963302747,1.7743792381332268,1.6185698267074413
2010,1.0265309633027522,0.8453784403669724,2.708175608296769,2.316254332313965
2011,1.4363245412844035,1.1828555045871556,2.7598554048663737,2.9412772680937813
2012,1.6361525229357796,1.347419724770642,2.586303849222178,2.5433369011213043
2013,1.122545871559633,0.9244495412844036,2.222943258875149,2.1052446483180427
2014,0.9949483944954126,0.8193692660550458,2.355376445951336,2.1409689092762485
2015,1.1984805045871558,0.9869839449541283,2.5260799760670123,2.3403939857288476
2016,1.1449655963302752,0.9429128440366972,1.992727861986438,1.8722787971457697
2017,0.8983486238532108,0.7398165137614678,1.969409652971679,1.764984709480122
2018,0.8418119266055045,0.6932568807339449,2.293550558436378,2.066245158002039
2019,0.8618922018348623,0.7097935779816512,1.8272457120063816,1.7958567787971456
2020,0.7489162844036695,0.6167545871559632,1.8726361188671716,1.6239072375127421
2021,1.1941915137614678,0.9834518348623853,3.54549511368169,3.245691641182466
