,Minimum recovery cost (EUR/year),Maximum recovery cost (EUR/year),Minimum P recovered (kg P/year),Maximum P recovered (kg P/year),Minimum P recovery cost (EUR/kg P recovered),Maximum P recovery cost (EUR/kg P recovered),Minimum P recovered (% over inflow),Maximum P recovered (% over inflow)
Cattle manure (liquid),779476816.0124061,779476816.0124061,2389290.292020822,2389290.292020822,326.2378031734008,326.2378031734008,17.999999999999996,17.999999999999996
Swine manure (liquid),306380468.7700189,306380468.7700189,1542336.9817401897,1542336.9817401897,198.6469055707499,198.6469055707499,18.000000000000007,18.000000000000007
Poultry manure (liquid),457018350.212995,457018350.212995,1162232.9944553736,1162232.9944553736,393.22438133599485,393.22438133599485,17.999999999999993,17.999999999999993
Other livestock manure (liquid),283801134.04677224,283801134.04677224,410919.8374233612,410919.8374233612,690.648414119707,690.648414119707,18.0,18.0
Cattle manure (solid),85218020.41540934,92306248.2817378,7964300.97340274,8097039.322959454,10.700000000000003,11.400000000000004,59.999999999999986,61.0
Swine manure (solid),55010019.01540008,59585618.727895945,5141123.272467295,5226808.660341749,10.700000000000006,11.400000000000002,59.99999999999998,60.999999999999964
Poultry manure (solid),41452976.80224168,44900934.685792625,3874109.9815179133,3938678.481209878,10.700000000000003,11.400000000000004,60.0,60.999999999999986
Other livestock manure (solid),14656140.868099876,15875203.052455863,1369732.7914112038,1392561.6712680568,10.699999999999996,11.400000000000011,59.999999999999986,60.99999999999998
WWTPs (liquid),1604063.8821506493,15386743.626953015,255844.92957668714,445359.5522932213,6.2696723550655555,34.5490369471687,27.000008483454103,47.0
WWTPs (sludge),48653209.19690244,52734583.05810438,4964613.1833573915,5022341.24362899,9.8,10.499999999999998,86.00000000000001,87.00000000000003
Slaughterhouse (liquid),6473689.953071485,21598008.90550275,299760.0,674460.0,21.596243505042317,32.0226683650665,8.0,18.0
Slaughterhouse (solid),45473592.0,48055275.00000001,2772780.0,2810250.0,16.4,17.1,74.0,75.0
Food & organic waste,290189800.0,318533100.0,35260000.0,35670000.0,8.23,8.93,86.0,87.0
